Visibility,Time,Unexpected_beh,Early_Violation
1,17.3575177192688,0,0
1,9.935487508773804,0,0
1,13.610493421554565,0,0
1,10.357018947601318,0,0
1,7.501722812652588,0,0
1,7.582323789596558,0,0
1,8.722351789474487,1,1
1,7.528618812561035,0,0
1,7.941738605499268,0,0
1,11.71196460723877,0,0
1,9.311404466629028,0,0
1,7.0449724197387695,0,0
1,7.087604284286499,0,0
1,9.695352554321289,0,0
1,15.074400186538696,0,0
1,6.9939961433410645,0,0
1,11.476585626602173,0,0
1,8.861489057540894,0,0
1,6.854555368423462,0,0
1,7.84846305847168,0,0
1,7.998698949813843,0,0
1,22.35311985015869,0,0
1,15.871994495391846,0,0
1,11.968575954437256,0,0
1,16.143179416656494,0,0
1,11.477463960647583,0,0
1,7.020364284515381,0,0
1,7.017806053161621,0,0
1,8.347175121307373,0,0
1,6.966602802276611,0,0
1,8.118234872817993,0,0
1,11.593708753585815,0,0
1,12.447521209716797,0,0
1,9.459507465362549,0,0
1,19.124885082244873,0,0
1,12.069957494735718,0,0
1,20.795582056045532,0,0
1,8.376484155654907,0,0
1,8.093487024307251,0,0
1,10.936262130737305,0,0
1,13.621948480606079,0,0
1,8.040854692459106,0,0
1,7.827125072479248,0,0
1,6.998060703277588,0,0
1,8.505850076675415,0,0
1,19.799073219299316,0,0
